2019/11/25,11:30:00,F,40,26,Cash
2019/11/25,11:31:00,M,30,13,3rd-party Payment
2019/11/25,11:33:00,F,20,998,Credit Card
2019/11/25,11:33:00,F,20,4998,Unionpay Card
2019/11/25,11:35:00,M,20,57,Apple Pay
2019/11/25,11:55:00,M,20,99,Cash
2019/11/25,11:55:00,M,50,78,Cash
2019/11/25,11:57:00,M,40,25,Credit Card
2019/11/25,11:58:00,F,40,123,Cash
2019/11/25,11:59:00,M,40,46,Cash
2019/11/25,12:03:00,M,30,26,Cash
2019/11/25,12:03:00,F,30,78,3rd-party Payment
2019/11/25,12:06:00,F,20,2660,Unionpay Card
2019/11/25,12:08:00,F,20,98,Unionpay Card
2019/11/25,12:10:00,M,20,47,Apple Pay
2019/11/25,12:12:00,F,40,10,Cash
2019/11/25,12:13:00,M,30,10,Cash
2019/11/25,12:16:00,M,20,15,3rd-party Payment
2019/11/25,12:16:00,F,20,57,Cash
2019/11/25,12:17:00,M,20,34,Cash
2019/11/25,14:30:00,M,40,26,Cash
2019/11/25,14:33:00,M,40,13,3rd-party Payment
2019/11/25,14:34:00,F,40,998,Credit Card
2019/11/25,14:39:00,F,30,3989,Unionpay Card
2019/11/25,14:41:00,M,30,78,Apple Pay
2019/11/25,14:43:00,M,60,89,Cash
2019/11/25,14:46:00,F,40,99,Cash
2019/11/25,14:48:00,M,30,799,Credit Card
2019/11/25,14:49:00,F,40,26,3rd-party Payment
2019/11/25,14:50:00,M,50,40,3rd-party Payment
2019/11/25,14:51:00,F,30,36,Cash
2019/11/25,14:52:00,F,30,5699,3rd-party Payment
2019/11/25,14:53:00,M,20,269,3rd-party Payment
2019/11/25,14:55:00,F,20,390,Unionpay Card
2019/11/25,14:55:00,M,20,68,Apple Pay
2019/11/25,14:55:00,F,40,50,Cash
2019/11/25,14:57:00,M,30,47,Cash
2019/11/25,14:58:00,M,20,1,Cash
2019/11/25,15:09:00,F,20,38,Cash
2019/11/25,15:11:00,M,20,31,Cash
